  -0.628319,   0.100000,   0.200000,   0.000000,   0.000000,   0.200000,  -1.600000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000
   0.628321,   0.099999,   0.199998,   0.000003,   0.000002,   0.200011,  -1.600013,  -0.000000,   0.000073,  -0.000072,   0.000030,  -0.000028,   0.000000
   0.621404,   0.103694,   0.195162,  -0.024945,   0.049436,   0.295558,  -1.753267,   0.002728,   0.187758,  -0.180689,   0.075587,  -0.068519,   0.000000
   0.614059,   0.106723,   0.189373,  -0.047867,   0.163344,   0.237612,  -1.817185,   0.005059,   0.364976,  -0.395114,   0.133728,  -0.163866,   0.000000
   0.606486,   0.108215,   0.182262,  -0.069049,   0.320020,   0.063310,  -1.807200,   0.007037,   0.506985,  -0.657213,   0.152977,  -0.303204,   0.000000
   0.599471,   0.100461,   0.169411,  -0.089359,   0.453396,  -0.147098,  -1.737494,   0.008701,   0.406212,  -1.132216,  -0.061511,  -0.664493,   0.000000
   0.592487,   0.096217,   0.159085,  -0.108345,   0.369595,   0.131791,  -1.939598,   0.010085,   0.396630,  -1.514576,  -0.184313,  -0.933633,   0.000000
   0.585937,   0.090022,   0.147992,  -0.126482,   0.538733,  -0.154641,  -1.829016,   0.011221,   0.333182,  -1.927554,  -0.353934,  -1.240438,   0.000000
   0.579677,   0.083932,   0.137361,  -0.143692,   0.438234,   0.133490,  -2.023063,   0.012139,   0.269993,  -2.324810,  -0.518594,  -1.536223,   0.000000
   0.573967,   0.076187,   0.126313,  -0.160299,   0.592949,  -0.144534,  -1.905881,   0.012864,   0.158795,  -2.740648,  -0.722363,  -1.859490,   0.000000
   0.568624,   0.068407,   0.115712,  -0.176179,   0.489135,   0.127928,  -2.080375,   0.013418,   0.042821,  -3.141576,  -0.924942,  -2.173813,   0.000000
   0.563825,   0.059597,   0.105102,  -0.191564,   0.625841,  -0.128321,  -1.966408,   0.013824,  -0.105620,  -3.545852,  -1.151186,  -2.500286,   0.000000
   0.559455,   0.050552,   0.094865,  -0.206394,   0.527634,   0.114408,  -2.116244,   0.014100,  -0.265171,  -3.938193,  -1.381568,  -2.821796,   0.000000
   0.555595,   0.040896,   0.084845,  -0.220797,   0.642853,  -0.109553,  -2.012565,   0.014261,  -0.446518,  -4.325032,  -1.625497,  -3.146053,   0.000000
   0.552173,   0.031019,   0.075205,  -0.234750,   0.555756,   0.096019,  -2.135862,   0.014325,  -0.639154,  -4.699609,  -1.873593,  -3.465170,   0.000000
   0.549222,   0.020782,   0.065883,  -0.248328,   0.647451,  -0.088441,  -2.047688,   0.014303,  -0.847135,  -5.064344,  -2.129424,  -3.782054,   0.000000
   0.546684,   0.010421,   0.056961,  -0.261518,   0.575349,   0.074896,  -2.143291,   0.014208,  -1.063898,  -5.415659,  -2.387326,  -4.092230,   0.000000
   0.544563,  -0.000101,   0.048411,  -0.274362,   0.642768,  -0.065738,  -2.074232,   0.014050,  -1.290565,  -5.754520,  -2.648376,  -4.396709,   0.000000
